,Churn,Item1,Item2,Item4,Item5,Item6,Gender,Age,Income,Marital,Children
74,Yes,4,4,5,2,3,Male,70,1509.52,Never Married,1
75,Yes,3,3,3,5,3,Female,67,81124.71,Married,2
76,Yes,1,1,2,3,1,Female,46,11795.57,Widowed,4
77,No,2,2,4,3,3,Male,50,74794.84,Never Married,1
78,Yes,4,4,1,4,4,Female,24,19038.78,Never Married,1
79,No,3,4,4,5,4,Male,20,79167.77,Divorced,0
80,Yes,3,4,2,5,3,Female,29,37428.26,Married,1
81,No,3,3,4,4,3,Male,31,45148.38,Divorced,0
82,No,4,4,3,1,5,Female,72,74855.47,Separated,5
83,No,4,4,3,4,3,Male,71,45323.86,Divorced,4
84,No,5,3,5,3,3,Female,32,71596.14,Divorced,2
85,No,3,3,3,3,4,Male,33,10389.95,Never Married,0
86,No,3,3,2,5,4,Male,67,19657.14,Widowed,3
87,Yes,4,3,6,1,4,Female,66,27827.03,Divorced,0
88,Yes,4,4,3,3,3,Female,21,15609.05,Separated,4
89,No,3,2,4,3,4,Female,61,19815.63,Never Married,0
90,Yes,3,3,3,3,4,Female,75,58482.9,Separated,0
91,Yes,3,2,2,4,3,Female,63,41656.53,Widowed,0
92,No,2,2,4,3,3,Female,68,115510.46,Separated,0
93,Yes,2,2,3,3,3,Male,32,15841.19,Never Married,2
94,No,3,2,4,2,4,Male,76,81127.41,Never Married,0
95,Yes,5,5,5,1,5,Female,29,24270.88,Divorced,0
96,No,4,4,3,2,4,Female,83,54466.33,Married,0
97,Yes,3,2,4,3,2,Male,23,64816.84,Divorced,10
98,No,5,4,3,4,4,Male,80,103311.26,Never Married,5
99,No,3,4,5,2,6,Male,20,40211.04,Never Married,0
100,Yes,3,2,5,3,4,Male,69,58077.38,Separated,0
101,No,3,4,4,3,4,Male,32,43466.35,Never Married,1
102,Yes,2,4,2,3,3,Female,53,23289.77,Divorced,0
103,No,4,4,4,3,3,Male,25,49158.49,Separated,2
104,Yes,3,3,3,2,4,Male,69,3805.84,Divorced,0
105,Yes,3,5,2,4,2,Male,71,52616.27,Widowed,3
106,Yes,3,3,4,3,2,Female,53,30550.42,Widowed,3
107,Yes,4,4,3,5,3,Nonbinary,56,12154.01,Divorced,2
108,Yes,4,3,3,5,4,Male,42,30649.31,Married,0
109,Yes,2,2,2,4,2,Male,33,31417.33,Married,3
110,No,4,4,4,3,3,Male,47,55861.19,Divorced,1
111,Yes,3,4,4,2,3,Female,48,9044.26,Widowed,1
112,Yes,4,3,2,3,3,Female,63,25381.66,Never Married,0
113,No,3,3,3,3,3,Male,40,65064.31,Widowed,1
114,Yes,5,4,3,3,5,Male,67,12527.51,Divorced,0
115,No,6,5,4,4,3,Female,56,35499.06,Divorced,0
116,No,5,5,3,3,3,Female,24,26282.4,Married,6
117,No,4,5,4,1,4,Female,79,51237.28,Divorced,2
118,Yes,4,3,5,3,5,Male,61,64222.21,Married,3
119,Yes,4,4,4,3,4,Male,38,11014.98,Divorced,0
120,No,5,4,2,3,4,Female,28,21172.49,Divorced,4
121,Yes,4,4,3,3,4,Male,44,26130.78,Divorced,3
122,No,2,2,4,3,3,Male,65,36478.21,Widowed,1
123,No,4,4,3,4,3,Female,35,54533.63,Divorced,3
124,No,2,2,5,5,1,Female,31,37103.18,Separated,2
125,No,4,3,3,4,5,Male,34,74679.84,Widowed,2
126,Yes,3,3,3,4,3,Male,68,95028.57,Separated,2
127,No,5,5,2,5,3,Male,62,34281.1,Never Married,0
128,No,4,4,3,3,4,Male,52,36240.81,Separated,0
129,Yes,2,1,4,3,5,Male,32,9515.64,Divorced,5
130,Yes,3,3,2,4,4,Female,47,125814.88,Divorced,0
131,No,3,3,6,3,6,Female,66,12995.68,Divorced,8
132,Yes,2,3,4,4,2,Female,70,77531.43,Divorced,1
133,Yes,5,5,4,4,4,Male,41,87354.99,Divorced,3
134,No,4,5,4,4,4,Male,59,76567.85,Separated,2
135,No,4,3,4,5,2,Male,46,30663.52,Married,1
136,No,3,3,4,3,4,Male,70,122957.19,Married,3
137,No,4,6,1,7,3,Male,89,31600.92,Widowed,1
138,Yes,3,3,4,3,4,Female,75,74638.78,Never Married,4
139,Yes,5,4,4,4,4,Female,26,32652.3,Married,0
140,No,4,3,3,4,3,Female,25,63650.54,Divorced,4
141,Yes,4,5,4,4,2,Female,84,28622.6,Widowed,1
142,No,4,4,5,2,4,Male,69,50252.79,Never Married,3
143,No,5,5,4,2,3,Male,31,19800.81,Divorced,3
144,Yes,4,4,3,2,3,Male,76,35954.77,Married,10
145,Yes,5,4,4,3,5,Male,75,36342.31,Divorced,8
146,Yes,2,2,4,2,2,Nonbinary,74,48715.53,Divorced,1
147,No,5,4,2,4,5,Male,49,23204.98,Divorced,1
148,Yes,2,3,4,4,3,Male,47,35302.52,Separated,1
149,Yes,6,5,3,6,4,Female,20,54895.16,Married,4
150,Yes,3,3,3,3,3,Female,26,60398.06,Never Married,2
151,No,2,3,5,3,4,Female,72,8115.88,Never Married,2
152,No,5,5,3,5,4,Male,41,33858.66,Divorced,1
153,Yes,3,4,3,4,4,Female,26,29950.47,Married,3
154,No,4,4,5,4,3,Male,55,49421.69,Separated,4
155,No,3,4,4,2,5,Female,46,11061.05,Married,1
156,Yes,4,4,3,4,4,Female,87,15388.32,Separated,0
157,No,4,5,4,3,3,Male,39,20624.31,Divorced,1
158,Yes,4,4,4,5,3,Male,81,47877.81,Married,0
159,No,3,4,1,3,4,Male,83,46154.17,Never Married,0
160,Yes,3,3,3,4,4,Female,50,107111.8,Widowed,0
161,Yes,4,3,3,4,3,Female,87,10403.59,Married,3
162,No,2,3,4,3,3,Female,76,22412.6,Married,3
163,Yes,2,2,2,5,4,Female,25,19476.27,Widowed,6
164,Yes,2,2,4,1,4,Male,34,96382.76,Married,3
165,No,4,5,2,3,5,Female,46,28022.56,Divorced,1
166,No,4,3,3,5,2,Female,73,35478.4,Married,1
167,Yes,5,6,4,3,5,Female,57,10155.51,Divorced,8
168,No,2,3,4,2,4,Male,58,87537.25,Divorced,3
169,Yes,4,2,4,4,3,Male,70,34112.1,Never Married,4
170,Yes,3,3,2,7,3,Male,53,32653.51,Married,0
171,Yes,2,3,5,4,3,Male,31,35321.46,Married,0
172,No,4,4,5,2,4,Female,38,49277.48,Widowed,0
173,Yes,2,2,4,4,5,Female,26,37297.82,Widowed,0
174,No,3,4,2,4,3,Male,44,14928.96,Widowed,2
175,Yes,4,4,4,4,4,Female,66,24702.68,Divorced,3
176,No,3,2,3,4,2,Male,58,87535.71,Divorced,1
177,Yes,3,4,3,4,4,Female,51,63166.87,Divorced,6
178,No,3,2,3,4,4,Female,34,11856.81,Separated,4
179,No,3,4,3,4,4,Nonbinary,87,27326.79,Widowed,0
180,Yes,3,4,3,3,5,Female,67,12779.23,Divorced,1
181,Yes,4,3,4,3,4,Nonbinary,59,25519.91,Never Married,4
182,No,5,4,5,1,6,Male,23,46871.21,Divorced,7
183,Yes,3,4,2,4,2,Male,42,77383.72,Widowed,0
184,Yes,4,4,4,4,4,Female,24,47395.3,Divorced,1
185,No,4,4,2,4,3,Female,81,90977.74,Widowed,2
186,No,3,3,3,5,2,Male,78,135727.71,Separated,8
187,Yes,1,3,3,4,3,Female,51,47726.25,Separated,1
188,No,4,3,2,5,3,Female,70,51721.64,Never Married,1
189,No,5,4,4,4,4,Female,87,41531.03,Married,0
190,No,4,4,4,5,4,Female,46,33504.8,Divorced,0
191,Yes,5,6,4,2,3,Female,56,34197.3,Widowed,8
192,Yes,2,2,5,3,4,Male,44,11518.58,Married,4
193,No,4,3,4,3,3,Female,33,31065.17,Never Married,0
194,Yes,3,3,2,3,1,Female,19,32097.17,Widowed,0
195,Yes,4,4,2,4,4,Male,31,23424.88,Never Married,1
196,No,5,5,6,2,5,Female,34,35988.24,Separated,1
197,No,5,5,4,4,3,Male,43,35539.7,Never Married,4
198,No,2,2,5,3,1,Male,82,27959.34,Separated,1
199,No,2,2,5,4,3,Female,36,52232.97,Widowed,6
200,Yes,4,3,3,3,3,Male,48,18198.59,Never Married,1
201,Yes,4,2,4,2,5,Male,52,16851.94,Widowed,0
202,Yes,5,4,4,3,4,Nonbinary,35,16440.05,Never Married,1
203,No,2,3,3,3,1,Female,83,44223.58,Widowed,3
204,No,3,3,5,4,3,Male,20,33343.73,Widowed,0
205,Yes,2,3,4,3,4,Female,25,30664.56,Separated,0
206,No,4,3,3,3,4,Male,88,31934.04,Divorced,0
207,No,2,3,3,5,2,Female,54,26676.4,Widowed,1
208,Yes,5,5,4,3,4,Male,46,67211.95,Never Married,1
209,No,4,4,4,2,5,Female,75,31136.77,Widowed,2
210,No,4,3,3,5,4,Male,66,40660.84,Widowed,5
211,No,4,3,5,3,5,Female,51,10606.59,Divorced,0
212,No,4,4,3,3,3,Female,81,92447.71,Divorced,3
213,No,3,2,2,5,3,Male,75,13612.16,Never Married,0
214,Yes,5,4,5,2,4,Female,54,13765.39,Widowed,3
215,No,4,4,2,5,3,Male,73,53019.98,Never Married,2
216,No,3,4,3,3,4,Male,53,42523.02,Separated,0
217,No,3,4,4,3,2,Female,33,52143.7,Never Married,8
218,No,3,2,2,5,4,Female,41,19097.94,Widowed,5
219,No,4,5,4,3,4,Female,59,11301.4,Divorced,1
220,Yes,1,2,4,4,3,Female,23,17814.0,Separated,3
221,Yes,3,3,3,3,2,Female,32,22533.05,Widowed,1
222,Yes,3,3,3,4,2,Female,51,19974.4,Never Married,3
223,No,3,4,5,3,4,Female,46,45146.99,Never Married,1
224,Yes,4,5,4,3,3,Male,37,10330.1,Married,3
225,No,4,4,4,4,3,Male,53,15281.28,Never Married,0
226,Yes,2,3,4,4,2,Male,62,11217.96,Divorced,1
227,No,5,6,4,5,5,Female,57,17516.0,Separated,1
228,Yes,4,4,4,2,4,Female,80,20566.64,Married,2
229,Yes,4,3,3,4,2,Male,43,36128.68,Married,1
230,Yes,4,4,3,4,3,Male,35,52129.84,Divorced,1
231,No,3,3,4,4,4,Female,63,25985.06,Never Married,1
232,Yes,3,4,4,3,3,Female,63,10909.79,Widowed,1
233,No,3,3,6,2,4,Female,27,41151.14,Divorced,1
234,No,2,3,5,3,4,Female,19,64063.23,Married,4
235,No,2,2,5,5,2,Female,40,20414.07,Never Married,1
236,Yes,2,3,2,5,2,Male,42,41412.1,Widowed,0
237,Yes,3,2,4,2,4,Female,40,99195.08,Married,0
238,No,3,4,5,3,4,Female,72,18408.94,Married,0
239,Yes,3,4,3,4,4,Male,61,15930.45,Separated,3
240,No,4,4,3,3,4,Male,71,25611.29,Divorced,0
241,No,4,4,3,4,3,Female,68,9428.86,Divorced,4
242,No,2,3,4,4,3,Female,88,3810.16,Never Married,1
243,Yes,4,3,3,3,2,Male,64,118022.06,Widowed,1
244,Yes,2,2,3,4,1,Female,63,51992.79,Married,1
245,No,3,3,3,3,3,Female,53,79993.43,Divorced,0
246,No,2,3,4,3,2,Male,41,37706.85,Widowed,0
247,No,5,4,2,5,2,Male,63,22466.53,Married,2
248,No,2,3,3,4,3,Female,56,16608.27,Married,4
249,No,3,3,5,1,4,Male,27,25146.14,Divorced,2
250,No,4,4,3,3,3,Male,47,58882.35,Divorced,2
251,No,2,2,3,3,4,Female,42,31809.46,Never Married,4
252,Yes,4,4,4,5,3,Female,72,27235.54,Widowed,0
253,Yes,4,4,3,3,5,Male,58,70476.82,Married,3
254,Yes,2,2,4,5,2,Male,33,49396.09,Widowed,0
255,Yes,3,2,4,3,4,Female,87,35060.94,Never Married,6
256,No,2,2,4,2,4,Female,34,66055.53,Divorced,0
257,No,3,4,2,5,4,Male,76,91335.76,Widowed,7
258,No,4,4,2,2,4,Nonbinary,38,54349.75,Widowed,3
259,Yes,4,5,4,5,3,Female,47,75042.1,Separated,0
260,Yes,3,2,3,5,3,Male,84,91001.1,Widowed,7
261,Yes,3,2,3,3,3,Male,19,44426.28,Widowed,4
262,No,5,5,5,4,4,Female,87,63284.16,Divorced,0
263,No,6,6,2,3,4,Male,75,14039.21,Widowed,3
264,Yes,5,5,2,5,4,Male,37,12453.24,Divorced,0
265,Yes,4,4,3,3,4,Female,52,15934.12,Never Married,1
266,Yes,2,2,5,4,4,Male,24,48314.4,Separated,0
267,Yes,3,4,4,3,4,Male,83,5511.77,Married,4
268,Yes,3,2,3,3,5,Female,19,10701.11,Never Married,3
269,Yes,3,3,4,2,3,Male,78,10767.15,Divorced,1
270,No,5,6,3,3,4,Female,61,13493.63,Separated,4
271,Yes,2,2,1,4,3,Male,38,25071.58,Separated,0
272,Yes,3,3,5,5,4,Male,79,368.5,Never Married,0
273,No,4,4,2,4,2,Female,49,27976.63,Divorced,0
274,No,1,2,2,2,3,Female,41,56154.5,Married,0
275,No,3,2,4,3,4,Female,75,62145.59,Widowed,0
276,No,4,4,4,3,5,Female,60,6517.94,Married,1
277,No,4,5,4,3,4,Male,70,19090.03,Never Married,1
278,Yes,4,4,4,3,4,Male,23,13194.33,Divorced,0
279,Yes,4,3,3,4,3,Female,84,63963.36,Married,2
280,Yes,3,4,5,4,4,Male,63,34447.89,Married,1
281,No,4,3,3,4,3,Female,88,36315.29,Separated,2
282,Yes,4,3,3,3,4,Female,44,5009.07,Divorced,0
283,Yes,4,4,3,3,4,Female,49,14202.72,Never Married,1
284,Yes,3,3,5,3,4,Male,32,54779.76,Married,8
285,No,3,3,3,4,2,Nonbinary,69,36453.31,Divorced,1
286,Yes,3,3,5,2,4,Female,60,11250.71,Separated,2
287,No,4,4,4,3,3,Female,57,65951.35,Separated,0
288,Yes,5,5,4,3,5,Female,62,15292.25,Separated,8
289,No,3,3,3,4,3,Male,26,41879.1,Divorced,0
290,Yes,3,3,3,4,4,Female,85,17080.57,Divorced,0
291,No,2,3,3,4,1,Female,82,68122.23,Separated,2
292,No,3,3,3,5,2,Female,40,39468.79,Widowed,2
293,Yes,6,5,4,2,4,Male,50,123763.12,Divorced,0
294,Yes,3,3,3,4,2,Male,71,84301.44,Separated,1
295,No,4,4,1,7,3,Nonbinary,48,42469.81,Never Married,2
296,No,5,5,2,3,3,Female,24,75458.79,Separated,0
297,No,4,4,4,3,4,Male,79,60345.9,Never Married,3
298,No,3,3,4,4,3,Male,82,76066.77,Separated,4
299,Yes,3,2,2,3,5,Female,68,42755.27,Divorced,2
300,No,2,3,3,3,4,Nonbinary,77,76874.25,Widowed,5
301,No,5,5,4,3,5,Female,19,41075.64,Widowed,1
302,Yes,3,3,3,4,2,Male,80,63095.62,Widowed,1
303,Yes,5,3,2,4,3,Female,31,82131.87,Separated,4
304,No,4,4,3,3,3,Male,62,28502.33,Divorced,2
305,Yes,4,4,3,4,3,Male,80,9450.84,Separated,4
306,No,3,3,4,3,3,Male,36,44977.06,Married,1
307,No,3,4,3,5,2,Male,72,13583.35,Widowed,0
308,No,4,3,3,2,2,Male,50,42093.64,Married,0
309,No,4,4,3,4,1,Male,31,55398.87,Widowed,3
310,No,4,4,4,4,3,Female,22,22362.59,Never Married,0
311,Yes,3,3,3,5,2,Male,50,40271.47,Married,0
312,No,5,5,4,4,4,Male,28,56178.63,Divorced,0
313,No,2,3,4,4,2,Male,63,21053.35,Never Married,0
314,No,4,5,2,4,3,Female,73,75866.75,Separated,1
315,No,4,5,5,2,6,Male,72,74061.48,Never Married,3
316,Yes,3,3,3,2,2,Male,23,35102.93,Never Married,7
317,Yes,2,2,4,2,3,Male,49,26391.1,Never Married,1
318,Yes,5,5,4,2,4,Female,82,29982.49,Divorced,1
319,No,4,4,4,4,4,Female,72,51154.34,Divorced,1
320,No,3,3,2,3,3,Female,45,37583.97,Never Married,1
321,No,4,4,3,5,4,Female,73,28654.87,Divorced,1
322,Yes,4,3,4,3,4,Female,78,119968.61,Divorced,1
323,No,4,3,3,3,5,Male,71,11591.09,Married,4
324,Yes,3,3,5,3,4,Female,67,70174.11,Never Married,4
325,No,3,4,4,3,4,Male,43,8495.04,Widowed,1
326,Yes,2,3,5,2,4,Female,27,17191.02,Widowed,5
327,Yes,4,4,3,2,5,Male,39,24732.09,Divorced,2
328,No,4,5,4,3,3,Female,52,27282.21,Divorced,0
329,Yes,4,3,2,5,3,Female,19,40902.49,Married,9
330,Yes,4,4,3,5,5,Female,48,87568.16,Married,0
331,Yes,3,3,5,3,2,Male,22,69327.78,Divorced,0
332,Yes,3,3,3,3,4,Male,69,5194.22,Married,1
333,No,3,3,4,3,2,Male,31,12951.51,Married,1
334,No,3,2,3,4,4,Female,79,11179.42,Never Married,9
335,No,3,5,2,4,5,Male,65,47288.09,Divorced,0
336,Yes,2,2,4,4,3,Male,49,114398.35,Married,4
337,Yes,2,3,1,5,2,Female,69,105646.73,Separated,6
338,No,4,5,2,6,4,Male,74,42386.84,Widowed,3
339,Yes,4,5,3,3,4,Male,27,38864.57,Widowed,3
340,Yes,2,2,3,2,3,Female,79,25215.22,Separated,4
341,No,5,5,4,4,4,Female,41,9302.3,Widowed,1
342,No,3,2,4,2,4,Female,51,45225.74,Divorced,0
343,Yes,5,5,5,2,5,Male,57,29976.15,Divorced,0
344,No,3,2,2,4,3,Female,66,13155.79,Divorced,1
345,Yes,6,6,3,5,4,Female,85,14980.5,Divorced,4
346,No,4,4,3,4,5,Female,54,24017.57,Divorced,9
347,Yes,5,5,2,3,5,Male,79,26204.77,Separated,8
348,Yes,3,3,3,3,4,Male,56,27978.78,Never Married,3
349,Yes,4,3,4,3,5,Male,80,46622.3,Separated,1
350,Yes,4,5,3,4,4,Female,37,34419.26,Married,0
351,No,5,4,2,3,3,Female,24,8507.97,Never Married,7
352,No,4,4,4,4,5,Male,48,64420.19,Married,3
353,Yes,5,2,3,3,4,Female,68,122263.81,Never Married,0
354,Yes,4,4,5,3,3,Male,74,64446.9,Married,3
355,No,4,4,2,5,3,Female,37,20647.83,Never Married,1
356,Yes,3,2,2,5,3,Male,54,23956.91,Separated,0
357,No,2,3,6,2,3,Male,84,56003.36,Separated,1
358,Yes,4,3,4,3,3,Male,68,50150.81,Never Married,10
359,No,3,2,3,5,4,Female,39,4180.22,Widowed,10
360,No,4,3,4,3,4,Male,85,70023.28,Widowed,4
361,Yes,4,5,3,4,3,Female,86,40728.96,Separated,1
362,No,3,4,3,3,3,Female,70,69248.13,Separated,1
363,Yes,4,5,4,4,5,Female,33,65187.42,Widowed,1
364,No,2,3,3,3,3,Female,58,26005.77,Divorced,1
365,No,2,2,2,3,2,Male,58,10423.75,Widowed,2
366,Yes,4,4,3,3,4,Male,42,28909.96,Divorced,4
367,No,5,6,4,4,5,Male,89,28219.28,Married,2
368,No,2,3,4,4,3,Male,63,67319.27,Widowed,2
369,Yes,5,5,4,2,6,Male,18,71348.1,Divorced,0
370,No,6,4,5,2,5,Male,82,39231.99,Never Married,4
371,No,3,3,3,3,4,Male,61,28129.21,Separated,8
372,No,2,3,4,3,3,Male,36,69104.9,Married,7
373,No,3,4,3,5,4,Female,87,31282.78,Never Married,1
374,Yes,2,3,4,2,3,Male,48,65229.24,Separated,0
375,Yes,4,4,4,2,4,Male,56,15110.46,Widowed,8
376,No,3,4,2,4,2,Male,57,66922.3,Divorced,0
377,Yes,3,2,3,3,4,Male,89,1666.59,Divorced,3
378,No,2,2,3,4,3,Female,30,50258.38,Separated,6
379,Yes,2,2,2,3,4,Female,54,54373.35,Divorced,4
380,No,3,3,4,2,5,Female,55,33588.84,Widowed,5
381,Yes,3,3,4,3,2,Female,46,23629.05,Married,1
382,No,3,2,4,5,2,Female,18,91186.03,Separated,0
383,No,3,3,5,4,3,Female,58,20204.74,Never Married,0
384,Yes,4,5,1,4,3,Male,60,37703.83,Divorced,1
385,No,3,3,3,4,3,Female,62,29117.32,Never Married,2
386,No,5,4,3,4,4,Female,30,52531.72,Widowed,4
387,Yes,2,4,2,6,3,Male,75,25742.72,Never Married,4
388,Yes,5,4,4,4,3,Female,23,21072.82,Married,7
389,Yes,5,5,4,4,4,Female,84,37774.81,Married,1
390,Yes,3,3,3,4,3,Male,61,20811.42,Separated,3
391,Yes,1,2,3,4,2,Male,75,34474.39,Separated,0
392,Yes,3,3,4,1,4,Male,72,81388.6,Divorced,3
393,Yes,3,3,4,4,3,Male,66,78272.96,Widowed,0
394,Yes,3,3,3,5,3,Female,81,11655.88,Separated,2
395,No,4,5,4,3,4,Male,34,37773.19,Widowed,4
396,Yes,5,4,3,4,4,Male,82,40183.01,Never Married,1
397,No,7,6,5,2,6,Male,73,37149.4,Married,1
398,Yes,2,2,3,4,3,Male,28,10331.57,Divorced,0
399,No,4,4,6,1,5,Female,48,37096.85,Married,1
400,Yes,3,2,5,2,5,Male,53,26004.59,Married,2
401,Yes,2,4,4,3,5,Female,52,77291.95,Divorced,4
402,No,3,3,3,6,2,Female,20,24462.25,Widowed,3
403,Yes,3,2,3,4,3,Male,19,75871.75,Divorced,0
404,No,3,3,4,4,3,Nonbinary,70,28840.47,Divorced,0
405,No,4,3,3,3,4,Female,48,25299.48,Never Married,4
406,No,3,2,4,4,3,Male,28,37631.4,Married,2
407,No,4,4,4,3,4,Male,52,23014.69,Never Married,2
408,No,4,4,4,4,3,Female,77,31300.68,Widowed,1
409,No,5,4,4,4,4,Female,71,55840.35,Widowed,3
410,Yes,3,4,5,2,3,Female,22,9729.44,Widowed,4
411,Yes,4,3,5,2,3,Male,88,35891.67,Widowed,1
412,No,6,6,2,4,5,Male,25,20801.9,Never Married,0
413,No,3,3,1,4,3,Male,21,112429.2,Separated,2
414,No,3,3,2,4,2,Female,39,33217.64,Never Married,1
415,No,5,4,4,3,4,Male,29,45562.97,Widowed,1
416,No,4,4,3,3,3,Female,22,15380.9,Divorced,1
417,No,5,4,3,3,3,Female,44,100232.53,Never Married,10
418,No,4,3,4,2,3,Male,74,57900.98,Divorced,4
419,No,2,3,2,4,4,Female,84,60476.86,Separated,2
420,No,4,3,5,2,5,Male,65,26875.13,Never Married,1
421,No,3,3,4,2,4,Female,29,24447.03,Separated,2
422,Yes,4,5,3,4,4,Female,51,14817.22,Married,2
423,Yes,4,4,4,4,3,Female,40,6170.55,Married,0
424,No,5,5,5,2,6,Female,49,33620.38,Widowed,2
425,Yes,3,2,5,2,3,Female,61,86453.08,Separated,7
426,No,3,3,3,4,3,Female,61,31466.9,Divorced,3
427,No,5,4,3,4,3,Female,85,76984.15,Widowed,1
428,No,3,3,4,4,6,Female,25,43586.8,Never Married,8
429,No,4,4,5,2,4,Female,48,13148.09,Separated,4
430,No,1,1,4,3,1,Male,86,11612.88,Widowed,4
431,Yes,3,4,3,3,3,Female,53,71215.87,Never Married,0
432,No,4,4,4,5,3,Female,88,18113.33,Never Married,2
433,Yes,3,3,3,3,3,Female,40,18895.18,Widowed,1
434,Yes,4,4,3,3,5,Male,23,48852.54,Divorced,1
435,Yes,3,3,5,4,3,Male,63,6574.36,Married,3
436,No,5,4,3,5,4,Male,28,10342.14,Widowed,2
437,Yes,3,3,4,5,3,Female,26,23028.48,Separated,1
438,No,2,3,4,3,3,Male,22,31843.16,Never Married,2
439,No,5,6,4,4,6,Male,43,31920.88,Married,2
440,Yes,3,4,5,2,5,Male,70,54961.9,Widowed,6
