,Population,Area_Suburban,Area_Urban,Children,Age,Income,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService_Fiber Optic,Phone,Multiple,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Tenure,Bandwidth_GB_Year,Email
10,555,0.0,1.0,7,23,22580.7,0.0,0.0,1.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,1,1,1,1,1,0,19.26726194,2728.767869,9
11,33372,0.0,0.0,2,56,18342.12,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1.0,1,0,0,0,1,0,10.52199781,1180.588788,17
12,556,0.0,0.0,0,83,83671.08,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,1.0,1,0,0,0,1,0,13.01149229,1196.388018,9
13,0,0.0,1.0,5,29,115114.57,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,2,1,1,1.0,1,1,1,0,1,0,16.87922024,1948.694497,14
14,8165,0.0,1.0,1,30,64256.81,0.0,0.0,1.0,0.0,1.0,0.0,3,0,0,0,0,0,0.0,0,1,0,1,0,0,10.06019902,1582.295235,10
15,2093,1.0,0.0,3,39,89061.45,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,0,0,0.0,1,0,1,0,1,1,13.87001293,1840.014467,13
16,50079,0.0,1.0,0,63,31659.3,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,1,1,0,1,0,1,15.78214958,2070.376729,13
17,7249,0.0,0.0,2,60,44142.81,0.0,0.0,1.0,0.0,1.0,0.0,3,0,0,2,0,0,0.0,1,0,1,0,1,1,2.303331273,882.0985933,16
18,9463,0.0,0.0,3,61,39262.14,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,2,1,0,0.0,1,0,0,1,1,0,17.10995632,1833.0967,11
19,3177,0.0,0.0,3,23,19494.75,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0.0,1,1,0,0,1,0,12.80615845,1954.080809,10
20,69,0.0,0.0,4,38,39624.21,0.0,1.0,0.0,0.0,1.0,0.0,0,3,0,0,0,0,1.0,1,0,1,1,0,1,20.45390977,2330.319383,14
21,14440,1.0,0.0,3,30,45714.47,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,2,0,1,1.0,1,0,1,0,0,0,2.415991977,594.1054279,18
22,381,0.0,1.0,3,52,27442.03,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,1.0,1,0,0,0,0,0,6.652298992,713.0633088,16
23,2193,0.0,1.0,2,68,79699.62,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,0,1.0,1,0,0,0,1,0,8.543717478,945.3802928,9
24,9434,0.0,0.0,3,75,28520.32,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,1.0,1,1,1,0,0,1,5.770390256,870.76398,15
25,29568,1.0,0.0,1,77,12558.83,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0.0,1,0,0,0,0,0,4.157658837,774.2937069,12
26,3089,0.0,0.0,1,47,8762.23,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1,0,1,0,1,1,10.40566091,1506.446527,15
27,5652,0.0,1.0,0,70,43882.72,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,1.0,1,0,0,1,1,0,1.392421597,419.0508708,12
28,1716,0.0,1.0,3,20,10482.52,0.0,0.0,1.0,0.0,0.0,0.0,2,0,1,1,0,0,0.0,1,0,0,0,1,1,1.430386349,1259.415493,13
29,52484,1.0,0.0,4,69,33442.79,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,2,0,1,0.0,1,1,1,1,1,1,5.425864884,1745.125956,18
30,11268,0.0,1.0,9,45,43383.54,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,2,1,0,1.0,0,0,0,1,1,1,11.08287797,1795.465729,14
31,1765,0.0,0.0,0,40,21793.88,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,2,0,1,1.0,1,1,0,1,0,0,3.586184954,492.4771472,13
32,680,0.0,0.0,6,82,51960.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1.0,1,0,0,1,1,1,4.727388465,1013.993166,9
33,136,0.0,0.0,5,74,25942.1,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,0,0,0.0,1,1,1,1,1,0,20.89923386,2680.762173,8
34,1517,0.0,1.0,4,69,11211.59,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,1,1,0,1.0,1,1,1,0,1,1,3.471329958,1081.814362,15
35,14103,1.0,0.0,1,52,8283.29,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0,0.0,1,1,1,1,0,0,5.478588204,1209.961168,11
36,6394,1.0,0.0,2,26,10114.81,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1.0,1,1,1,1,0,1,3.312991809,897.5919144,16
37,5059,0.0,1.0,1,25,36229.21,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,1,0.0,1,1,1,0,0,0,7.161561527,1340.930156,9
38,20450,1.0,0.0,1,66,25397.44,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,1.0,1,0,1,1,0,1,9.847563364,1113.993679,12
39,2123,1.0,0.0,1,72,50336.5,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,2,1,0,1.0,1,0,0,1,0,0,16.04202196,1530.10769,10
40,1164,0.0,1.0,3,21,38211.37,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,1,0,0,1,1,0,9.179779682,1310.137419,12
41,23,1.0,0.0,3,55,52887.26,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,1,0,0.0,1,0,1,0,0,0,3.002844144,892.8964931,16
42,895,1.0,0.0,4,41,12003.33,0.0,0.0,0.0,0.0,1.0,0.0,1,2,0,2,1,0,1.0,1,1,1,0,1,1,3.924254455,1125.581944,11
43,6699,1.0,0.0,4,32,24090.62,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,2,1,1,1.0,1,1,0,0,0,1,18.55959629,2016.710031,13
44,35743,0.0,0.0,0,22,15137.93,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,1.0,1,1,1,0,1,1,8.798394712,1412.736809,6
45,320,0.0,1.0,2,44,54458.38,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1.0,1,1,1,1,1,1,10.377366,1710.689671,5
46,7870,1.0,0.0,2,23,132116.33,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,1.0,1,0,1,1,0,1,22.25746016,2384.885909,11
47,861,1.0,0.0,3,43,37358.13,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1.0,1,1,1,1,0,0,9.427146079,1213.940165,11
48,15364,0.0,0.0,1,86,26534.16,0.0,0.0,1.0,0.0,0.0,0.0,2,2,0,2,1,0,1.0,1,0,0,0,1,0,7.760290062,740.010722,11
49,2589,1.0,0.0,2,84,76430.83,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1.0,1,0,0,0,0,0,11.56938439,897.9716153,14
50,4901,0.0,1.0,2,62,4662.37,0.0,0.0,1.0,0.0,0.0,0.0,3,0,0,0,1,0,0.0,1,1,0,0,0,1,3.343811019,1026.387172,13
51,39649,0.0,1.0,5,68,43820.85,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,1,0,0,0,1,1,7.338869531,1234.244324,12
52,456,1.0,0.0,1,59,38391.55,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,5.486534225,727.3731845,8
53,94,0.0,1.0,0,31,44137.6,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,1.0,1,1,0,0,1,0,1.55278221,452.8721504,6
54,315,0.0,1.0,0,51,14364.65,0.0,0.0,0.0,1.0,1.0,0.0,2,0,0,0,1,0,1.0,1,1,1,0,0,0,12.07970325,1296.674543,11
55,4969,1.0,0.0,1,58,62359.91,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0.0,1,0,0,0,1,0,13.98666226,1840.628269,11
56,46869,1.0,0.0,1,73,82634.86,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,1,0,0,1,0,0,9.563362997,1324.330108,11
57,58431,0.0,0.0,1,33,15690.25,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,2,0,0,0.0,1,0,1,0,0,1,6.732948946,958.1397059,11
58,26182,1.0,0.0,1,58,14568.7,0.0,0.0,1.0,0.0,1.0,0.0,2,0,0,2,1,0,0.0,1,1,0,0,1,1,15.72071086,1868.864027,15
59,694,0.0,0.0,0,49,29207.46,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,2,0,0,1.0,1,0,0,0,0,0,7.233605493,676.712908,9
60,3093,1.0,0.0,1,26,55319.23,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0.0,1,0,1,1,0,1,2.871017037,1086.990308,12
61,2765,0.0,1.0,1,25,81831.49,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,1,0,1.0,1,1,0,0,1,0,2.344875382,704.7540406,10
62,3757,0.0,0.0,0,42,100076.65,0.0,0.0,1.0,0.0,0.0,0.0,3,0,0,0,1,0,0.0,1,0,1,1,0,1,7.960490246,1416.444695,14
63,4938,0.0,0.0,1,81,69965.65,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12.25062113,1095.950634,15
64,3761,1.0,0.0,1,43,34883.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,1,0,0,0,0,1,9.634946079,1083.610268,13
65,1851,0.0,1.0,2,63,45634.2,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,2,1,0,0.0,1,1,0,1,1,0,7.916533093,1570.641337,14
66,38476,1.0,0.0,3,70,10964.73,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1,1,0,0,1,1,4.471254161,1007.425553,11
67,13547,0.0,1.0,1,78,22365.28,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,1.0,1,0,0,0,1,1,10.79028074,1323.028419,19
68,7801,0.0,1.0,0,48,52636.6,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,1,1,0.0,1,1,1,0,1,0,12.24190682,1808.730555,17
69,17823,1.0,0.0,1,63,19048.13,0.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,1,0,0.0,1,0,0,0,1,1,2.203859443,1120.241472,18
70,20269,0.0,1.0,4,60,42784.82,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,1,0,1,1,1,1,23.92132231,2676.789803,12
71,30225,0.0,0.0,0,87,77996.88,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,1,0,0.0,1,1,0,1,1,1,3.7311787,1268.086909,17
72,5760,1.0,0.0,3,54,47507.3,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,1.0,1,0,0,1,0,0,7.980015371,822.6771666,9
73,61,0.0,1.0,3,35,7724.73,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0,1.0,1,0,0,1,1,1,9.190009376,1577.915603,9
74,34359,0.0,1.0,1,70,1509.52,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1.0,1,1,0,1,0,1,2.378630018,648.7471776,16
75,24693,0.0,0.0,2,67,81124.71,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,1,1,1,1,1,1,5.43464555,1648.102673,13
76,4235,0.0,0.0,4,46,11795.57,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,2,0,0,0.0,0,0,0,0,1,1,1.092361222,768.0874545,11
77,2193,0.0,1.0,1,50,74794.84,0.0,1.0,0.0,0.0,1.0,0.0,2,1,0,2,0,0,0.0,1,0,0,1,0,1,20.13981517,2426.030626,10
78,273,0.0,0.0,1,24,19038.78,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1.0,1,1,0,0,1,1,24.64873861,2660.503932,18
79,14557,0.0,0.0,0,20,79167.77,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1.0,1,0,1,0,0,0,9.677739656,1129.549713,17
80,17653,0.0,1.0,1,29,37428.26,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0.0,1,0,0,0,1,1,9.82814183,1771.286466,13
81,285,0.0,0.0,0,31,45148.38,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1,0,1.0,1,1,0,0,0,0,7.832238337,943.3391244,6
82,320,0.0,1.0,5,72,74855.47,0.0,0.0,1.0,0.0,0.0,0.0,3,0,0,2,1,0,1.0,1,1,0,0,0,1,19.45250317,1907.226083,13
83,2863,0.0,1.0,4,71,45323.86,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0.0,1,0,1,0,0,0,14.34766616,1885.939118,10
84,1206,1.0,0.0,2,32,71596.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1.0,1,1,1,1,0,0,2.257358355,631.7435653,11
85,35279,0.0,0.0,0,33,10389.95,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,0,0,1.0,1,0,1,0,1,0,2.358129018,562.6095219,15
86,1049,1.0,0.0,3,67,19657.14,0.0,0.0,0.0,1.0,1.0,0.0,3,0,1,0,0,0,1.0,1,0,0,1,0,0,4.650578623,593.8572264,12
87,32203,1.0,0.0,0,66,27827.03,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1.0,1,1,0,0,1,1,3.721772616,777.3060718,13
88,25576,0.0,0.0,4,21,15609.05,0.0,0.0,1.0,0.0,0.0,0.0,4,0,0,0,1,0,0.0,1,0,0,0,1,1,3.76663012,1393.202392,12
89,319,0.0,1.0,0,61,19815.63,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0,1,1,1,1.0,1,0,0,1,0,0,4.151256695,393.6524652,13
90,55519,0.0,0.0,0,75,58482.9,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,1,0,0,0,1,2.188918771,409.7486664,13
91,15210,0.0,1.0,0,63,41656.53,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,1,0.0,0,0,0,1,1,1,13.85488928,2138.107161,9
92,3499,1.0,0.0,0,68,115510.46,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,2,1,0,1.0,1,0,1,0,0,1,3.273341151,443.984031,3
93,14479,1.0,0.0,2,32,15841.19,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,2,1,0,0.0,1,1,0,1,0,0,19.75096265,2481.385603,7
94,4654,1.0,0.0,0,76,81127.41,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,2,0,1,0.0,1,1,0,0,0,1,18.38404445,2233.567181,7
95,26320,1.0,0.0,0,29,24270.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,0,1,1,1,1,4.672610857,1158.91369,13
96,35,0.0,0.0,0,83,54466.33,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,1,0,0,0,0,0,6.796299371,529.40733,17
97,521,1.0,0.0,10,23,64816.84,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,1.0,1,0,1,1,1,0,12.97632235,1956.7337,14
98,17600,0.0,0.0,5,80,103311.26,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1.0,1,0,1,1,0,0,20.31163945,2056.386979,15
99,3324,1.0,0.0,0,20,40211.04,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,1.0,1,1,0,0,1,0,6.998814446,1067.373076,11
100,55122,0.0,1.0,0,69,58077.38,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,0,0,1.0,0,0,0,1,1,1,14.46288204,1806.135733,12
101,4038,0.0,1.0,1,32,43466.35,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,0,0,1.0,1,1,0,0,1,0,11.13472066,1397.701335,10
102,31927,0.0,1.0,0,53,23289.77,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1.0,1,1,0,0,1,1,2.542296644,808.4305471,19
103,19904,0.0,0.0,2,25,49158.49,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,2,0,0,1.0,1,0,0,1,0,1,17.22596021,1886.531937,9
104,13000,1.0,0.0,0,69,3805.84,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,0,1,0,1.0,0,1,0,1,1,0,22.79214163,2294.781131,16
105,1444,0.0,1.0,3,71,52616.27,0.0,0.0,0.0,1.0,1.0,0.0,2,1,0,0,0,0,1.0,1,1,0,1,1,0,3.823689744,826.3438621,10
106,2158,0.0,1.0,3,53,30550.42,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1,1,1,1,1,10.77094687,2072.564168,18
107,1800,0.0,1.0,2,56,12154.01,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,0,0,1,0.0,1,1,0,1,1,0,13.08671185,1436.793746,11
108,30,1.0,0.0,0,42,30649.31,1.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0,1,0,0.0,0,1,0,0,0,1,14.76468813,1963.332683,9
109,3682,1.0,0.0,3,33,31417.33,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1.0,1,1,0,0,1,0,9.473091121,1324.164906,14
110,41733,0.0,1.0,1,47,55861.19,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1.0,1,0,0,0,1,0,5.197446331,704.9375603,16
111,630,0.0,1.0,1,48,9044.26,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0,2,1,1,1.0,1,1,0,0,0,1,6.577552683,888.6517305,18
112,15383,0.0,0.0,0,63,25381.66,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1.0,1,0,0,0,0,1,3.174571918,377.0810282,10
113,257,0.0,1.0,1,40,65064.31,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,17.88002366,1606.489936,9
114,1012,0.0,1.0,0,67,12527.51,0.0,0.0,0.0,0.0,1.0,0.0,2,0,1,0,0,0,1.0,1,0,1,1,1,0,13.12190056,1431.409396,14
115,20327,0.0,1.0,0,56,35499.06,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,1.0,1,0,1,1,1,0,23.34617699,2253.85247,13
116,69,0.0,1.0,6,24,26282.4,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,0.0,1,1,0,0,0,0,6.311709178,1353.29384,10
117,1130,0.0,1.0,2,79,51237.28,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,0,1,1.0,1,1,0,1,1,1,12.58298231,1701.457566,12
118,4210,0.0,0.0,3,61,64222.21,1.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,1,0,0.0,1,0,0,0,0,1,7.120096363,1290.737183,16
119,155,0.0,1.0,0,38,11014.98,0.0,0.0,0.0,0.0,1.0,0.0,2,0,1,2,0,0,0.0,1,0,0,1,1,1,9.344886869,1403.270091,11
120,37711,0.0,0.0,4,28,21172.49,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2,0,0,0.0,1,1,0,1,0,0,22.37815032,2603.903672,13
121,1800,0.0,1.0,3,44,26130.78,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,1,1,1,0.0,1,1,0,1,1,1,4.799514433,1256.287854,8
122,8028,1.0,0.0,1,65,36478.21,0.0,0.0,0.0,1.0,1.0,0.0,2,0,1,0,0,1,0.0,1,0,0,1,0,0,10.04672315,980.9935923,14
123,31859,0.0,1.0,3,35,54533.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,0.0,1,0,0,0,1,1,8.156552837,1347.869205,15
124,16101,1.0,0.0,2,31,37103.18,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0,2,1,0,0.0,1,1,0,0,1,0,7.992791229,1127.267848,9
125,20449,1.0,0.0,2,34,74679.84,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,2,1,1,0.0,1,1,0,0,0,0,7.231032028,1269.836202,11
126,161,0.0,1.0,2,68,95028.57,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,1,0.0,1,1,0,0,1,1,4.627672042,1038.745378,13
127,29210,0.0,1.0,0,62,34281.1,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,2,0,0,0.0,0,1,0,1,0,0,10.05306287,1531.155367,9
128,821,0.0,1.0,0,52,36240.81,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,2,1,1,0.0,1,0,1,0,0,0,4.171044392,991.2441024,14
129,5846,0.0,1.0,5,32,9515.64,0.0,0.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0.0,1,1,0,0,1,1,4.568682641,1244.296865,11
130,4476,0.0,0.0,0,47,125814.88,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0.0,1,0,0,0,0,1,6.085030507,1162.332926,10
131,5529,0.0,0.0,8,66,12995.68,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1.0,1,0,0,0,0,1,2.730250735,577.1157824,12
132,25328,0.0,0.0,1,70,77531.43,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,1,1,0,1,1,0,8.574901206,1442.974877,14
133,3736,1.0,0.0,3,41,87354.99,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,1.0,1,1,0,0,1,1,9.743201772,1577.208717,10
134,610,1.0,0.0,2,59,76567.85,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,1,0,1.0,1,0,0,0,0,0,9.482919033,886.9398744,8
135,34,0.0,0.0,1,46,30663.52,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,2,0,0,1.0,1,1,0,1,0,0,8.447988841,1065.06443,12
136,3199,1.0,0.0,3,70,122957.19,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,1,1.0,1,1,0,1,0,1,6.365998533,951.886985,17
137,1135,0.0,1.0,1,89,31600.92,0.0,0.0,0.0,1.0,1.0,0.0,2,0,0,1,0,0,0.0,1,1,0,1,1,0,7.251397592,1404.435534,12
138,1750,1.0,0.0,4,75,74638.78,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,0,0,1.0,0,1,1,0,1,1,14.64011644,1925.911722,10
139,1076,0.0,1.0,0,26,32652.3,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.0,1,1,0,0,1,0,11.71637124,1805.011298,9
140,1692,0.0,1.0,4,25,63650.54,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2,1,0,1.0,1,1,0,0,0,0,4.13273503,700.7343179,8
141,43123,0.0,0.0,1,84,28622.6,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,1,1,0,1,1,0,2.887429547,513.237305,14
142,2396,1.0,0.0,3,69,50252.79,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0,0,0,1,1.0,1,0,0,1,0,1,3.303030246,717.3876564,15
143,12914,0.0,1.0,3,31,19800.81,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0,1,0,1,0.0,1,0,0,0,0,1,5.15825129,1313.492851,11
144,15171,1.0,0.0,10,76,35954.77,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0.0,1,0,0,1,0,1,3.237560234,819.4195269,14
145,5157,0.0,0.0,8,75,36342.31,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0,1.0,1,1,0,1,1,0,2.733109234,882.1160656,15
146,828,0.0,0.0,1,74,48715.53,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,2,1,1,1.0,1,0,0,1,1,1,3.180102025,724.7803356,17
147,98,1.0,0.0,1,49,23204.98,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,2,0,0,0.0,0,0,0,0,0,0,15.85983755,1829.270014,10
148,15671,0.0,0.0,1,47,35302.52,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,0,0,1.0,1,1,0,1,1,1,11.73724209,1668.199119,16
149,2229,0.0,1.0,4,20,54895.16,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,1,1.0,1,0,1,1,0,1,7.006240694,1124.353152,17
150,4982,1.0,0.0,2,26,60398.06,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0,0.0,1,1,1,0,0,1,5.562130367,1316.239744,10
151,18575,0.0,1.0,2,72,8115.88,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1.0,1,0,0,0,1,1,14.53027663,1637.201426,8
152,15715,0.0,1.0,1,41,33858.66,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,1.0,1,0,1,1,1,0,5.905906389,951.8524406,13
153,6252,1.0,0.0,3,26,29950.47,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,0.0,1,1,1,1,0,1,3.260462654,1248.097652,12
154,3834,0.0,1.0,4,55,49421.69,0.0,0.0,1.0,0.0,1.0,0.0,3,0,0,1,1,0,1.0,1,1,1,1,0,1,18.91276578,2220.255405,12
